PHY_MODE	GEN	REF_SEL	REFCLK(MHz)	DATA_RATE(GHZ)	PLL Frequency(GHz)	SSC_AMP_UNIT
USB	1	0	25	5.00000	10.000000	111
USB	1	1	30	5.00000	10.000000	111
USB	1	2	40	5.00000	10.000000	111
USB	1	3	50	5.00000	10.000000	111
USB	1	4	62.5	5.00000	10.000000	111
USB	1	5	100	5.00000	10.000000	111
USB	1	6	125	5.00000	10.000000	111
USB	1	7	156.25	5.00000	10.000000	111
USB	2	0	25	10.00000	10.000000	111
USB	2	1	30	10.00000	10.000000	111
USB	2	2	40	10.00000	10.000000	111
USB	2	3	50	10.00000	10.000000	111
USB	2	4	62.5	10.00000	10.000000	111
USB	2	5	100	10.00000	10.000000	111
USB	2	6	125	10.00000	10.000000	111
USB	2	7	156.25	10.00000	10.000000	111
SERDES	0	0	25	1.25000	10.000000	111
SERDES	0	1	30	1.25000	10.000000	111
SERDES	0	2	40	1.25000	10.000000	111
SERDES	0	3	50	1.25000	10.000000	111
SERDES	0	4	62.5	1.25000	10.000000	111
SERDES	0	5	100	1.25000	10.000000	111
SERDES	0	6	125	1.25000	10.000000	111
SERDES	0	7	156.25	1.25000	10.000000	111
SERDES	1	0	25	3.12500	12.500000	139
SERDES	1	1	30	3.12500	12.500000	139
SERDES	1	2	40	3.12500	12.500000	139
SERDES	1	3	50	3.12500	12.500000	139
SERDES	1	4	62.5	3.12500	12.500000	139
SERDES	1	5	100	3.12500	12.500000	139
SERDES	1	6	125	3.12500	12.500000	139
SERDES	1	7	156.25	3.12500	12.500000	139
SERDES	2	0	25	5.15625	10.312500	114
SERDES	2	1	30	5.15625	10.312500	114
SERDES	2	2	40	5.15625	10.312500	114
SERDES	2	3	50	5.15625	10.312500	114
SERDES	2	4	62.5	5.15625	10.312500	114
SERDES	2	5	100	5.15625	10.312500	114
SERDES	2	6	125	5.15625	10.312500	114
SERDES	2	7	156.25	5.15625	10.312500	114
SERDES	3	0	25	6.25000	12.500000	139
SERDES	3	1	30	6.25000	12.500000	139
SERDES	3	2	40	6.25000	12.500000	139
SERDES	3	3	50	6.25000	12.500000	139
SERDES	3	4	62.5	6.25000	12.500000	139
SERDES	3	5	100	6.25000	12.500000	139
SERDES	3	6	125	6.25000	12.500000	139
SERDES	3	7	156.25	6.25000	12.500000	139
SERDES	4	0	25	10.31250	10.312500	114
SERDES	4	1	30	10.31250	10.312500	114
SERDES	4	2	40	10.31250	10.312500	114
SERDES	4	3	50	10.31250	10.312500	114
SERDES	4	4	62.5	10.31250	10.312500	114
SERDES	4	5	100	10.31250	10.312500	114
SERDES	4	6	125	10.31250	10.312500	114
SERDES	4	7	156.25	10.31250	10.312500	114
SERDES	5	0	25	12.18750	12.187500	135
SERDES	5	1	30	12.18750	12.187500	135
SERDES	5	2	40	12.18750	12.187500	135
SERDES	5	3	50	12.18750	12.187500	135
SERDES	5	4	62.5	12.18750	12.187500	135
SERDES	5	5	100	12.18750	12.187500	135
SERDES	5	6	125	12.18750	12.187500	135
SERDES	5	7	156.25	12.18750	12.187500	135
SERDES	6	0	25	12.50000	12.500000	139
SERDES	6	1	30	12.50000	12.500000	139
SERDES	6	2	40	12.50000	12.500000	139
SERDES	6	3	50	12.50000	12.500000	139
SERDES	6	4	62.5	12.50000	12.500000	139
SERDES	6	5	100	12.50000	12.500000	139
SERDES	6	6	125	12.50000	12.500000	139
SERDES	6	7	156.25	12.50000	12.500000	139
SERDES	7	0	25	25.78125	12.890625	143
SERDES	7	1	30	25.78125	12.890625	143
SERDES	7	2	40	25.78125	12.890625	143
SERDES	7	3	50	25.78125	12.890625	143
SERDES	7	4	62.5	25.78125	12.890625	143
SERDES	7	5	100	25.78125	12.890625	143
SERDES	7	6	125	25.78125	12.890625	143
SERDES	7	7	156.25	25.78125	12.890625	143
SERDES	8	0	25	27.50000	13.750000	102
SERDES	8	1	30	27.50000	13.750000	102
SERDES	8	2	40	27.50000	13.750000	102
SERDES	8	3	50	27.50000	13.750000	102
SERDES	8	4	62.5	27.50000	13.750000	102
SERDES	8	5	100	27.50000	13.750000	102
SERDES	8	6	125	27.50000	13.750000	102
SERDES	8	7	156.25	27.50000	13.750000	102
SERDES	9	0	25	28.12500	14.062500	104
SERDES	9	1	30	28.12500	14.062500	104
SERDES	9	2	40	28.12500	14.062500	104
SERDES	9	3	50	28.12500	14.062500	104
SERDES	9	4	62.5	28.12500	14.062500	104
SERDES	9	5	100	28.12500	14.062500	104
SERDES	9	6	125	28.12500	14.062500	104
SERDES	9	7	156.25	28.12500	14.062500	104
SERDES	12	0	25	2.50000	10.000000	111
SERDES	12	1	30	2.50000	10.000000	111
SERDES	12	2	40	2.50000	10.000000	111
SERDES	12	3	50	2.50000	10.000000	111
SERDES	12	4	62.5	2.50000	10.000000	111
SERDES	12	5	100	2.50000	10.000000	111
SERDES	12	6	125	2.50000	10.000000	111
SERDES	12	7	156.25	2.50000	10.000000	111
SERDES	13	0	25	20.62500	10.312500	114
SERDES	13	1	30	20.62500	10.312500	114
SERDES	13	2	40	20.62500	10.312500	114
SERDES	13	3	50	20.62500	10.312500	114
SERDES	13	4	62.5	20.62500	10.312500	114
SERDES	13	5	100	20.62500	10.312500	114
SERDES	13	6	125	20.62500	10.312500	114
SERDES	13	7	156.25	20.62500	10.312500	114
SAS	0	0	25	1.50000	12.000000	133
SAS	0	1	30	1.50000	12.000000	133
SAS	0	2	40	1.50000	12.000000	133
SAS	0	3	50	1.50000	12.000000	133
SAS	0	4	62.5	1.50000	12.000000	133
SAS	0	5	100	1.50000	12.000000	133
SAS	0	6	125	1.50000	12.000000	133
SAS	0	7	156.25	1.50000	12.000000	133
SAS	1	0	25	3.00000	12.000000	133
SAS	1	1	30	3.00000	12.000000	133
SAS	1	2	40	3.00000	12.000000	133
SAS	1	3	50	3.00000	12.000000	133
SAS	1	4	62.5	3.00000	12.000000	133
SAS	1	5	100	3.00000	12.000000	133
SAS	1	6	125	3.00000	12.000000	133
SAS	1	7	156.25	3.00000	12.000000	133
SAS	2	0	25	6.00000	12.000000	133
SAS	2	1	30	6.00000	12.000000	133
SAS	2	2	40	6.00000	12.000000	133
SAS	2	3	50	6.00000	12.000000	133
SAS	2	4	62.5	6.00000	12.000000	133
SAS	2	5	100	6.00000	12.000000	133
SAS	2	6	125	6.00000	12.000000	133
SAS	2	7	156.25	6.00000	12.000000	133
SAS	3	0	25	12.00000	12.000000	133
SAS	3	1	30	12.00000	12.000000	133
SAS	3	2	40	12.00000	12.000000	133
SAS	3	3	50	12.00000	12.000000	133
SAS	3	4	62.5	12.00000	12.000000	133
SAS	3	5	100	12.00000	12.000000	133
SAS	3	6	125	12.00000	12.000000	133
SAS	3	7	156.25	12.00000	12.000000	133
SAS	4	0	25	22.50000	11.250000	125
SAS	4	1	30	22.50000	11.250000	125
SAS	4	2	40	22.50000	11.250000	125
SAS	4	3	50	22.50000	11.250000	125
SAS	4	4	62.5	22.50000	11.250000	125
SAS	4	5	100	22.50000	11.250000	125
SAS	4	6	125	22.50000	11.250000	125
SAS	4	7	156.25	22.50000	11.250000	125
PCIE	0	0	25	2.50000	10.000000	111
PCIE	0	1	30	2.50000	10.000000	111
PCIE	0	2	40	2.50000	10.000000	111
PCIE	0	3	50	2.50000	10.000000	111
PCIE	0	4	62.5	2.50000	10.000000	111
PCIE	0	5	100	2.50000	10.000000	111
PCIE	0	6	125	2.50000	10.000000	111
PCIE	0	7	156.25	2.50000	10.000000	111
PCIE	1	0	25	5.00000	10.000000	111
PCIE	1	1	30	5.00000	10.000000	111
PCIE	1	2	40	5.00000	10.000000	111
PCIE	1	3	50	5.00000	10.000000	111
PCIE	1	4	62.5	5.00000	10.000000	111
PCIE	1	5	100	5.00000	10.000000	111
PCIE	1	6	125	5.00000	10.000000	111
PCIE	1	7	156.25	5.00000	10.000000	111
PCIE	2	0	25	8.00000	8.000000	118
PCIE	2	1	30	8.00000	8.000000	118
PCIE	2	2	40	8.00000	8.000000	118
PCIE	2	3	50	8.00000	8.000000	118
PCIE	2	4	62.5	8.00000	8.000000	118
PCIE	2	5	100	8.00000	8.000000	118
PCIE	2	6	125	8.00000	8.000000	118
PCIE	2	7	156.25	8.00000	8.000000	118
PCIE	3	0	25	16.00000	8.000000	118
PCIE	3	1	30	16.00000	8.000000	118
PCIE	3	2	40	16.00000	8.000000	118
PCIE	3	3	50	16.00000	8.000000	118
PCIE	3	4	62.5	16.00000	8.000000	118
PCIE	3	5	100	16.00000	8.000000	118
PCIE	3	6	125	16.00000	8.000000	118
PCIE	3	7	156.25	16.00000	8.000000	118
