PHY_MODE	REF_SEL	REFCLK (MHz)	PLL_REG_SEL[2:0]	PLL_RATE_SEL[3:0]	PLL Rate (GHz)	FBDIV[9:0]	FBDIV_CAL[9:0]	REFDIV[3:0]	VIND_BAND_SEL	DIV_1G[9:0]	DIV_1G_FBCK[9:0]	PLL_ICP[4:0]	PLL_LPFR[1:0]	PLL_LPFC[1:0]	INIT_TXFOFFS[12:0]	SPEED_THRESH[11:0]	LCCAP_USB	SSC_ACC_FACTOR	SSC_STEP_125PPM[3:0]	SSC_M[12:0]
SERDES	0	25	4	8	14	08C	01C	1	1	038	00E	0D	1	1	0000	7D0	0	0	2	0D8F
SERDES	1	30	4	8	14	075	01C	1	1	038	00E	0C	1	1	05E0	7D0	0	0	2	0D8F
SERDES	2	40	4	8	14	058	01C	1	1	038	00E	0B	1	1	0BB0	7D0	0	0	2	0D8F
SERDES	3	50	4	8	14	046	01C	1	1	038	00E	09	1	1	0000	7D0	0	0	2	0D8F
SERDES	4	62.5	4	8	14	038	01C	1	1	038	00E	0A	0	1	0000	7E0	0	0	2	0D8F
SERDES	5	100	4	8	14	046	01C	2	1	038	00E	0C	0	1	0000	7D0	0	0	2	0D8F
SERDES	6	125	4	8	14	038	01C	2	1	038	00E	0A	0	1	0000	7D0	0	0	2	0D8F
SERDES	7	156.25	4	8	14	02D	01C	2	1	038	00E	09	0	1	0920	7DA	0	0	2	0D8F
SERDES	0	25	4	7	14.0625	08D	01C	1	1	038	00E	0D	1	1	0570	7D9	0	0	2	0D9D
SERDES	1	30	4	7	14.0625	075	01C	1	1	038	00E	0C	1	1	1CC0	7D9	0	0	2	0D9D
SERDES	2	40	4	7	14.0625	058	01C	1	1	038	00E	0B	1	1	0290	7D9	0	0	2	0D9D
SERDES	3	50	4	7	14.0625	046	01C	1	1	038	00E	09	1	1	16E0	7D9	0	0	2	0D9D
SERDES	4	62.5	4	7	14.0625	038	01C	1	1	038	00E	0A	0	1	16E0	7E9	0	0	2	0D9D
SERDES	5	100	4	7	14.0625	046	01C	2	1	038	00E	0C	0	1	16E0	7D9	0	0	2	0D9D
SERDES	6	125	4	7	14.0625	038	01C	2	1	038	00E	0A	0	1	16E0	7D9	0	0	2	0D9D
SERDES	7	156.25	4	7	14.0625	02D	01C	2	1	038	00E	09	0	1	0000	7E3	0	0	2	0D9D
SERDES	0	25	4	6	13.75	08A	01C	1	1	037	00E	0C	1	1	0770	7AC	0	0	2	0D51
SERDES	1	30	4	6	13.75	0E5	01C	2	1	037	00E	0F	1	1	1E80	7AC	0	0	2	0D51
SERDES	2	40	4	6	13.75	056	01C	1	1	037	00E	0A	1	1	0180	7AC	0	0	2	0D51
SERDES	3	50	4	6	13.75	045	01C	1	1	037	00E	09	1	1	0770	7AC	0	0	2	0D51
SERDES	4	62.5	4	6	13.75	037	01C	1	1	037	00E	0B	0	1	0000	7BC	0	0	2	0D51
SERDES	5	100	4	6	13.75	045	01C	2	1	037	00E	0C	0	1	0770	7AC	0	0	2	0D51
SERDES	6	125	4	6	13.75	037	01C	2	1	037	00E	0B	0	1	0000	7AC	0	0	2	0D51
SERDES	7	156.25	4	6	13.75	02C	01C	2	1	037	00E	09	0	1	0000	7B6	0	0	2	0D51
SERDES	0	25	4	5	13.28125	085	01B	1	1	035	00D	0D	1	1	02E0	7B0	0	0	3	0CDB
SERDES	1	30	4	5	13.28125	06F	01B	1	1	035	00D	0C	1	1	0600	7B0	0	0	3	0CDB
SERDES	2	40	4	5	13.28125	053	01B	1	1	035	00D	0B	1	1	1FD0	7B0	0	0	3	0CDB
SERDES	3	50	4	5	13.28125	085	01B	2	1	035	00D	0D	1	1	02E0	7B0	0	0	3	0CDB
SERDES	4	62.5	4	5	13.28125	035	01B	1	1	035	00D	0B	0	1	1B30	7BF	0	0	3	0CDB
SERDES	5	100	4	5	13.28125	085	01B	4	1	035	00D	0F	0	1	02E0	7B0	0	0	3	0CDB
SERDES	6	125	4	5	13.28125	035	01B	2	1	035	00D	0B	0	1	1B30	7B0	0	0	3	0CDB
SERDES	7	156.25	4	5	13.28125	055	01B	4	1	035	00D	0D	0	1	0000	7B9	0	0	3	0CDB
SERDES	0	25	3	4	12.890625	081	01A	1	1	034	00D	0E	1	1	0180	7BF	0	0	3	0C7B
SERDES	1	30	3	4	12.890625	06B	01A	1	1	034	00D	0D	1	1	17F0	7BF	0	0	3	0C7B
SERDES	2	40	3	4	12.890625	051	01A	1	1	034	00D	0B	1	1	0B00	7BF	0	0	3	0C7B
SERDES	3	50	3	4	12.890625	081	01A	2	1	034	00D	0E	1	1	0180	7BF	0	0	3	0C7B
SERDES	4	62.5	3	4	12.890625	09B	01A	3	1	034	00D	0F	1	1	0420	7CF	0	0	3	0C7B
SERDES	5	100	3	4	12.890625	061	01A	3	1	034	00D	0C	1	1	06D0	7BF	0	0	3	0C7B
SERDES	6	125	3	4	12.890625	081	01A	5	1	034	00D	0E	1	1	0180	7BF	0	0	3	0C7B
SERDES	7	156.25	3	4	12.890625	0A5	01A	8	1	034	00D	0C	1	1	0000	7C9	0	0	3	0C7B
SERDES	0	25	3	3	12.5	07D	019	1	1	032	00D	0E	1	1	0000	7D0	0	0	3	0C1B
SERDES	1	30	3	3	12.5	068	019	1	1	032	00D	0D	1	1	1CC0	7D0	0	0	3	0C1B
SERDES	2	40	3	3	12.5	04E	019	1	1	032	00D	0C	1	1	1CC0	7D0	0	0	3	0C1B
SERDES	3	50	3	3	12.5	07D	019	2	1	032	00D	0E	1	1	0000	7D0	0	0	3	0C1B
SERDES	4	62.5	3	3	12.5	032	019	1	1	032	00D	0B	0	1	0000	7E0	0	0	3	0C1B
SERDES	5	100	3	3	12.5	05E	019	3	1	032	00D	0C	1	1	0570	7D0	0	0	3	0C1B
SERDES	6	125	3	3	12.5	019	019	1	1	032	00D	07	0	1	0000	7D0	0	0	3	0C1B
SERDES	7	156.25	3	3	12.5	014	019	1	1	032	00D	06	0	1	0000	7DA	0	0	3	0C1B
SERDES	0	25	3	2	12.1875	07A	018	1	0	031	00C	0D	1	1	0220	7EF	0	0	3	0BCD
