PHY_MODE	GEN	REF_SEL	REFCLK(MHz)	DATA_RATE(GHZ)	PLL Frequency(GHz)
USB	1	0	25	5	10.000
USB	1	1	30	5	10.000
USB	1	2	40	5	10.000
USB	1	3	50	5	10.000
USB	1	4	62.5	5	10.000
USB	1	5	100	5	10.000
USB	1	6	125	5	10.000
USB	1	7	156.25	5	10.000
USB	2	0	25	10	10.000
USB	2	1	30	10	10.000
USB	2	2	40	10	10.000
USB	2	3	50	10	10.000
USB	2	4	62.5	10	10.000
USB	2	5	100	10	10.000
USB	2	6	125	10	10.000
USB	2	7	156.25	10	10.000
SERDES	0	0	25	1.25	10
SERDES	0	1	30	1.25	10
SERDES	0	2	40	1.25	10
SERDES	0	3	50	1.25	10
SERDES	0	4	62.5	1.25	10
SERDES	0	5	100	1.25	10
SERDES	0	6	125	1.25	10
SERDES	0	7	156.25	1.25	10
SERDES	4	0	25	10.3125	10.3125
SERDES	4	1	30	10.3125	10.3125
SERDES	4	2	40	10.3125	10.3125
SERDES	4	3	50	10.3125	10.3125
SERDES	4	4	62.5	10.3125	10.3125
SERDES	4	5	100	10.3125	10.3125
SERDES	4	6	125	10.3125	10.3125
SERDES	4	7	156.25	10.3125	10.3125
SERDES	6	0	25	12.5	12.5
SERDES	6	1	30	12.5	12.5
SERDES	6	2	40	12.5	12.5
SERDES	6	3	50	12.5	12.5
SERDES	6	4	62.5	12.5	12.5
SERDES	6	5	100	12.5	12.5
SERDES	6	6	125	12.5	12.5
SERDES	6	7	156.25	12.5	12.5
SERDES	7	0	25	25.78125	12.890625
SERDES	7	1	30	25.78125	12.890625
SERDES	7	2	40	25.78125	12.890625
SERDES	7	3	50	25.78125	12.890625
SERDES	7	4	62.5	25.78125	12.890625
SERDES	7	5	100	25.78125	12.890625
SERDES	7	6	125	25.78125	12.890625
SERDES	7	7	156.25	25.78125	12.890625
SERDES	9	0	25	28.125	14.0625
SERDES	9	1	30	28.125	14.0625
SERDES	9	2	40	28.125	14.0625
SERDES	9	3	50	28.125	14.0625
SERDES	9	4	62.5	28.125	14.0625
SERDES	9	5	100	28.125	14.0625
SERDES	9	6	125	28.125	14.0625
SERDES	9	7	156.25	28.125	14.0625
SAS	0	0	25	1.5	12.000
SAS	0	1	30	1.5	12.000
SAS	0	2	40	1.5	12.000
SAS	0	3	50	1.5	12.000
SAS	0	4	62.5	1.5	12.000
SAS	0	5	100	1.5	12.000
SAS	0	6	125	1.5	12.000
SAS	0	7	156.25	1.5	12.000
SAS	1	0	25	3	12.000
SAS	1	1	30	3	12.000
SAS	1	2	40	3	12.000
SAS	1	3	50	3	12.000
SAS	1	4	62.5	3	12.000
SAS	1	5	100	3	12.000
SAS	1	6	125	3	12.000
SAS	1	7	156.25	3	12.000
SAS	2	0	25	6	12.000
SAS	2	1	30	6	12.000
SAS	2	2	40	6	12.000
SAS	2	3	50	6	12.000
SAS	2	4	62.5	6	12.000
SAS	2	5	100	6	12.000
SAS	2	6	125	6	12.000
SAS	2	7	156.25	6	12.000
SAS	3	0	25	12	12.000
SAS	3	1	30	12	12.000
SAS	3	2	40	12	12.000
SAS	3	3	50	12	12.000
SAS	3	4	62.5	12	12.000
SAS	3	5	100	12	12.000
SAS	3	6	125	12	12.000
SAS	3	7	156.25	12	12.000
SAS	4	0	25	22.5	11.250
SAS	4	1	30	22.5	11.250
SAS	4	2	40	22.5	11.250
SAS	4	3	50	22.5	11.250
SAS	4	4	62.5	22.5	11.250
SAS	4	5	100	22.5	11.250
SAS	4	6	125	22.5	11.250
SAS	4	7	156.25	22.5	11.250
PCIE	0	0	25	2.5	10.000
PCIE	0	1	30	2.5	10.000
PCIE	0	2	40	2.5	10.000
PCIE	0	3	50	2.5	10.000
PCIE	0	4	62.5	2.5	10.000
PCIE	0	5	100	2.5	10.000
PCIE	0	6	125	2.5	10.000
PCIE	0	7	156.25	2.5	10.000
PCIE	1	0	25	5	10.000
PCIE	1	1	30	5	10.000
PCIE	1	2	40	5	10.000
PCIE	1	3	50	5	10.000
PCIE	1	4	62.5	5	10.000
PCIE	1	5	100	5	10.000
PCIE	1	6	125	5	10.000
PCIE	1	7	156.25	5	10.000
PCIE	2	0	25	8	8.000
PCIE	2	1	30	8	8.000
PCIE	2	2	40	8	8.000
PCIE	2	3	50	8	8.000
PCIE	2	4	62.5	8	8.000
PCIE	2	5	100	8	8.000
PCIE	2	6	125	8	8.000
PCIE	2	7	156.25	8	8.000
PCIE	3	0	25	16	8.000
PCIE	3	1	30	16	8.000
PCIE	3	2	40	16	8.000
PCIE	3	3	50	16	8.000
PCIE	3	4	62.5	16	8.000
PCIE	3	5	100	16	8.000
PCIE	3	6	125	16	8.000
PCIE	3	7	156.25	16	8.000
