PHY_MODE	REF_SEL	REFCLK (MHz)	PLL_REG_SEL[2:0]	PLL_RATE_SEL[3:0]	PLL Rate (GHz)	FBDIV[9:0]	FBDIV_CAL[9:0]	REFDIV[3:0]	VIND_BAND_SEL	DIV_1G[9:0]	DIV_1G_FBCK[9:0]	ICP_LC[4:0]	PLL_LPFR[1:0]	PLL_LPFC[1:0]	INTPI_LCPLL[3:0]	TX_INTPR[1:0]	INIT_TXFOFFS[9:0]	SPEED_THRESH[11:0]	LCCAP_USB	SSC_ACC_FACTOR	SSC_STEP_125PPM[3:0]	SSC_M[12:0]
SERDES	0	25	4	6	14.0625	08D	01C	1	1	038	00E	0D	1	1	6	0	057	7D9	0	0	2	0D9D
SERDES	1	30	4	6	14.0625	075	01C	1	1	038	00E	0C	1	1	6	0	3CC	7D9	0	0	2	0D9D
SERDES	2	40	4	6	14.0625	058	01C	1	1	038	00E	0B	1	1	6	0	029	7D9	0	0	2	0D9D
SERDES	3	50	4	6	14.0625	046	01C	1	1	038	00E	09	1	1	6	0	36E	7D9	0	0	2	0D9D
SERDES	4	62.5	4	6	14.0625	038	01C	1	1	038	00E	0A	0	1	6	0	36E	7E9	0	0	2	0D9D
SERDES	5	100	4	6	14.0625	046	01C	2	1	038	00E	0C	0	1	6	0	36E	7D9	0	0	2	0D9D
SERDES	6	125	4	6	14.0625	038	01C	2	1	038	00E	0A	0	1	6	0	36E	7D9	0	0	2	0D9D
SERDES	7	156.25	4	6	14.0625	02D	01C	2	1	038	00E	09	0	1	6	0	000	7E3	0	0	2	0D9D
SERDES	0	25	4	5	13.75	08A	01C	1	1	037	00E	0C	1	1	6	1	077	7AC	0	0	2	0D51
SERDES	1	30	4	5	13.75	0E5	01C	2	1	037	00E	0F	1	1	6	1	3E8	7AC	0	0	2	0D51
SERDES	2	40	4	5	13.75	056	01C	1	1	037	00E	0A	1	1	6	1	018	7AC	0	0	2	0D51
SERDES	3	50	4	5	13.75	045	01C	1	1	037	00E	09	1	1	6	1	077	7AC	0	0	2	0D51
SERDES	4	62.5	4	5	13.75	037	01C	1	1	037	00E	0B	0	1	6	1	000	7BC	0	0	2	0D51
SERDES	5	100	4	5	13.75	045	01C	2	1	037	00E	0C	0	1	6	1	077	7AC	0	0	2	0D51
SERDES	6	125	4	5	13.75	037	01C	2	1	037	00E	0B	0	1	6	1	000	7AC	0	0	2	0D51
